old_url,new_url,type,status
http://advokat-vnp.ru/,/,homepage,planned
http://advokat-vnp.ru/cat/7/nauchnaja-dejateljnostj,/#publications,category,planned
http://advokat-vnp.ru/cat/3/statji-v-periodike,/posts,category,planned
http://advokat-vnp.ru/cat/4/advokatskaja-praktika,/#practice,category,planned
http://advokat-vnp.ru/cat/5/videomaterialy,/#publications,category,planned
http://advokat-vnp.ru/page/2/laureat-juridicheskoj-premii-femida,/#about,status-page,verify
http://advokat-vnp.ru/page/3/kandidat-juridicheskih-nauk,/#about,status-page,planned
http://advokat-vnp.ru/page/4/pochetnyj-advokat-rossii,/#about,status-page,verify
http://advokat-vnp.ru/page/5/chlen-mgka,/#about,status-page,planned
http://advokat-vnp.ru/page/6/kavaler-ordena-pocheta,/#about,status-page,verify
http://advokat-vnp.ru/page/7/kontakty,/,contacts,hold
http://advokat-vnp.ru/page/8/postanovlenie-prezidiuma-mosgorsuda-ot-16112012-goda-po-delu-44u-53012,/#practice,case,planned
http://advokat-vnp.ru/page/9/novyj-zakon-novye-problemy-u-advokatov,/posts/novyy-zakon-novye-problemy-u-advokatov,post,prepared
http://advokat-vnp.ru/page/10/vstupiteljnye-zajavlenija-storon-chasti-2-i-3-statji-335-upk-rf,/posts/vstupitelnye-zayavleniya-storon-statya-335-upk-rf,post,prepared
http://advokat-vnp.ru/page/11/opredelenie-ot-27-aprelja-2006-goda-verhovnogo-suda-rf-delo-n-5-d05-299,/#practice,case,planned
http://advokat-vnp.ru/page/12/postanovlenie-moskovskogo-gorodskogo-suda-ot-14022013-po-delu-n-4u-47713,/#practice,case,planned
http://advokat-vnp.ru/page/15/sud-prisjazhnyh-v-rossii,/#publications,video,planned
http://advokat-vnp.ru/page/16/opredelenie-verhovnogo-suda-rf-ot-28012010-n-32-009-65sp,/#practice,case,planned
http://advokat-vnp.ru/page/17/proizvodnye-narkoticheskih-sredstv-i-psihotropnyh-veschestv-da-ili-net,/posts/proizvodnye-narkoticheskikh-sredstv-da-ili-net,post,prepared
http://advokat-vnp.ru/page/18/intervjju-advokata-vedischeva-np-po-delu-ocimika-ae,/#publications,video,planned
http://advokat-vnp.ru/page/19/nauchnye-statji-opublikovannye-v-veduschih-recenziruemyh-zhurnalah-i-izdanijah-rekomendovannyh-vysshej-attestacionnoj-komissiej-ministerstva-obrazovanija-i-nauki-rossijskoj-federacii,/#publications,publication-list,prepared
http://advokat-vnp.ru/page/20/monografii,/#books,books-list,prepared
http://advokat-vnp.ru/page/21/nauchnye-statji-opublikovannye-v-inyh-izdanijah,/#publications,publication-list,prepared
